panel,beta,density
gamma1_watch,-0.004568,3.194
gamma1_watch,-0.004565,3.194
gamma1_watch,-0.004561,3.194
gamma1_watch,-0.004558,3.194
gamma1_watch,-0.004555,3.194
gamma1_watch,-0.004552,3.194
gamma1_watch,-0.004549,3.194
gamma1_watch,-0.004545,3.194
gamma1_watch,-0.004542,3.194
gamma1_watch,-0.004539,3.194
gamma1_watch,-0.004536,3.194
gamma1_watch,-0.004532,3.194
gamma1_watch,-0.004529,3.194
gamma1_watch,-0.004526,3.194
gamma1_watch,-0.004523,3.194
gamma1_watch,-0.004520,3.194
gamma1_watch,-0.004516,3.194
gamma1_watch,-0.004513,3.194
gamma1_watch,-0.004510,3.194
gamma1_watch,-0.004507,3.194
gamma1_watch,-0.004504,3.194
gamma1_watch,-0.004500,3.194
gamma1_watch,-0.004497,3.194
gamma1_watch,-0.004494,3.194
gamma1_watch,-0.004491,3.194
gamma1_watch,-0.004487,3.194
gamma1_watch,-0.004484,3.194
gamma1_watch,-0.004481,3.194
gamma1_watch,-0.004478,3.194
gamma1_watch,-0.004475,3.194
gamma1_watch,-0.004471,3.194
gamma1_watch,-0.004468,3.194
gamma1_watch,-0.004465,3.194
gamma1_watch,-0.004462,3.194
gamma1_watch,-0.004459,3.194
gamma1_watch,-0.004455,3.194
gamma1_watch,-0.004452,3.194
gamma1_watch,-0.004449,3.194
gamma1_watch,-0.004446,3.194
gamma1_watch,-0.004442,3.194
gamma1_watch,-0.004439,3.194
gamma1_watch,-0.004436,3.194
gamma1_watch,-0.004433,3.194
gamma1_watch,-0.004430,3.194
gamma1_watch,-0.004426,3.194
gamma1_watch,-0.004423,3.194
gamma1_watch,-0.004420,3.194
gamma1_watch,-0.004417,3.194
gamma1_watch,-0.004414,3.194
gamma1_watch,-0.004410,3.194
gamma1_watch,-0.004407,3.194
gamma1_watch,-0.004404,3.194
gamma1_watch,-0.004401,3.194
gamma1_watch,-0.004397,3.194
gamma1_watch,-0.004394,3.194
gamma1_watch,-0.004391,3.194
gamma1_watch,-0.004388,3.194
gamma1_watch,-0.004385,3.194
gamma1_watch,-0.004381,3.194
gamma1_watch,-0.004378,3.194
gamma1_watch,-0.004375,3.194
gamma1_watch,-0.004372,3.194
gamma1_watch,-0.004369,3.194
gamma1_watch,-0.004365,3.194
gamma1_watch,-0.004362,3.194
gamma1_watch,-0.004359,3.194
gamma1_watch,-0.004356,3.194
gamma1_watch,-0.004352,3.194
gamma1_watch,-0.004349,3.194
gamma1_watch,-0.004346,3.194
gamma1_watch,-0.004343,3.194
gamma1_watch,-0.004340,3.194
gamma1_watch,-0.004336,3.194
gamma1_watch,-0.004333,3.194
gamma1_watch,-0.004330,3.194
gamma1_watch,-0.004327,3.194
gamma1_watch,-0.004324,3.194
gamma1_watch,-0.004320,3.194
gamma1_watch,-0.004317,3.194
gamma1_watch,-0.004314,3.194
gamma1_watch,-0.004311,3.194
gamma1_watch,-0.004307,3.194
gamma1_watch,-0.004304,3.194
gamma1_watch,-0.004301,3.194
gamma1_watch,-0.004298,3.194
gamma1_watch,-0.004295,3.194
gamma1_watch,-0.004291,3.194
gamma1_watch,-0.004288,3.194
gamma1_watch,-0.004285,3.194
gamma1_watch,-0.004282,3.194
gamma1_watch,-0.004279,3.194
gamma1_watch,-0.004275,3.194
gamma1_watch,-0.004272,3.194
gamma1_watch,-0.004269,3.194
gamma1_watch,-0.004266,3.194
gamma1_watch,-0.004262,3.194
gamma1_watch,-0.004259,3.194
gamma1_watch,-0.004256,3.194
gamma1_watch,-0.004253,3.194
gamma1_watch,-0.004250,3.194
gamma1_watch,-0.004246,3.194
gamma1_watch,-0.004243,3.194
gamma1_watch,-0.004240,3.194
gamma1_watch,-0.004237,3.194
gamma1_watch,-0.004234,3.194
gamma1_watch,-0.004230,3.194
gamma1_watch,-0.004227,3.194
gamma1_watch,-0.004224,3.194
gamma1_watch,-0.004221,3.194
gamma1_watch,-0.004217,3.194
gamma1_watch,-0.004214,3.194
gamma1_watch,-0.004211,3.194
gamma1_watch,-0.004208,3.194
gamma1_watch,-0.004205,3.194
gamma1_watch,-0.004201,3.194
gamma1_watch,-0.004198,3.194
gamma1_watch,-0.004195,3.194
gamma1_watch,-0.004192,3.194
gamma1_watch,-0.004189,3.194
gamma1_watch,-0.004185,3.194
gamma1_watch,-0.004182,3.194
gamma1_watch,-0.004179,3.194
gamma1_watch,-0.004176,3.194
gamma1_watch,-0.004172,3.194
gamma1_watch,-0.004169,3.194
gamma1_watch,-0.004166,3.194
gamma1_watch,-0.004163,3.194
gamma1_watch,-0.004160,3.194
gamma1_watch,-0.004156,3.194
gamma1_watch,-0.004153,3.194
gamma1_watch,-0.004150,3.194
gamma1_watch,-0.004147,3.194
gamma1_watch,-0.004144,3.194
gamma1_watch,-0.004140,3.194
gamma1_watch,-0.004137,3.194
gamma1_watch,-0.004134,3.194
gamma1_watch,-0.004131,3.194
gamma1_watch,-0.004127,3.194
gamma1_watch,-0.004124,3.194
gamma1_watch,-0.004121,3.194
gamma1_watch,-0.004118,3.194
gamma1_watch,-0.004115,3.194
gamma1_watch,-0.004111,3.194
gamma1_watch,-0.004108,3.194
gamma1_watch,-0.004105,3.194
gamma1_watch,-0.004102,3.194
gamma1_watch,-0.004099,3.194
gamma1_watch,-0.004095,3.194
gamma1_watch,-0.004092,3.194
gamma1_watch,-0.004089,3.194
gamma1_watch,-0.004086,3.194
gamma1_watch,-0.004082,3.194
gamma1_watch,-0.004079,3.194
gamma1_watch,-0.004076,3.194
gamma1_watch,-0.004073,3.194
gamma1_watch,-0.004070,3.194
gamma1_watch,-0.004066,3.194
gamma1_watch,-0.004063,3.194
gamma1_watch,-0.004060,3.194
gamma1_watch,-0.004057,3.194
gamma1_watch,-0.004054,3.194
gamma1_watch,-0.004050,3.194
gamma1_watch,-0.004047,3.194
gamma1_watch,-0.004044,3.194
gamma1_watch,-0.004041,3.194
gamma1_watch,-0.004037,3.194
gamma1_watch,-0.004034,3.194
gamma1_watch,-0.004031,3.194
gamma1_watch,-0.004028,3.194
gamma1_watch,-0.004025,3.194
gamma1_watch,-0.004021,3.194
gamma1_watch,-0.004018,3.194
gamma1_watch,-0.004015,3.194
gamma1_watch,-0.004012,3.194
gamma1_watch,-0.004008,3.194
gamma1_watch,-0.004005,3.194
gamma1_watch,-0.004002,3.194
gamma1_watch,-0.003999,3.194
gamma1_watch,-0.003996,3.194
gamma1_watch,-0.003992,3.194
gamma1_watch,-0.003989,3.194
gamma1_watch,-0.003986,3.194
gamma1_watch,-0.003983,3.194
gamma1_watch,-0.003980,3.194
gamma1_watch,-0.003976,3.194
gamma1_watch,-0.003973,3.194
gamma1_watch,-0.003970,3.194
gamma1_watch,-0.003967,3.194
gamma1_watch,-0.003963,3.194
gamma1_watch,-0.003960,3.194
gamma1_watch,-0.003957,3.194
gamma1_watch,-0.003954,3.194
gamma1_watch,-0.003951,3.194
gamma1_watch,-0.003947,3.194
gamma1_watch,-0.003944,3.194
gamma1_watch,-0.003941,3.194
gamma1_watch,-0.003938,3.194
gamma1_watch,-0.003935,3.194
gamma1_watch,-0.003931,3.194
gamma1_watch,-0.003928,3.194
gamma1_watch,-0.003925,3.194
gamma1_watch,-0.003922,3.194
gamma1_watch,-0.003918,3.194
gamma1_watch,-0.003915,3.194
gamma1_watch,-0.003912,3.194
gamma1_watch,-0.003909,3.194
gamma1_watch,-0.003906,3.194
gamma1_watch,-0.003902,3.194
gamma1_watch,-0.003899,3.194
gamma1_watch,-0.003896,3.194
gamma1_watch,-0.003893,3.194
gamma1_watch,-0.003890,3.194
gamma1_watch,-0.003886,3.194
gamma1_watch,-0.003883,3.194
gamma1_watch,-0.003880,3.194
gamma1_watch,-0.003877,3.194
gamma1_watch,-0.003873,3.194
gamma1_watch,-0.003870,3.194
gamma1_watch,-0.003867,3.194
gamma1_watch,-0.003864,3.194
gamma1_watch,-0.003861,3.194
gamma1_watch,-0.003857,3.194
gamma1_watch,-0.003854,3.194
gamma1_watch,-0.003851,3.194
gamma1_watch,-0.003848,3.194
gamma1_watch,-0.003845,3.194
gamma1_watch,-0.003841,3.194
gamma1_watch,-0.003838,3.194
gamma1_watch,-0.003835,3.194
gamma1_watch,-0.003832,3.194
gamma1_watch,-0.003828,3.194
gamma1_watch,-0.003825,3.194
gamma1_watch,-0.003822,3.194
gamma1_watch,-0.003819,3.194
gamma1_watch,-0.003816,3.194
gamma1_watch,-0.003812,3.194
gamma1_watch,-0.003809,3.194
gamma1_watch,-0.003806,3.194
gamma1_watch,-0.003803,3.194
gamma1_watch,-0.003800,3.194
gamma1_watch,-0.003796,3.194
gamma1_watch,-0.003793,3.194
gamma1_watch,-0.003790,3.194
gamma1_watch,-0.003787,3.194
gamma1_watch,-0.003783,3.194
gamma1_watch,-0.003780,3.194
gamma1_watch,-0.003777,3.194
gamma1_watch,-0.003774,3.194
gamma1_watch,-0.003771,3.194
gamma1_watch,-0.003767,3.194
gamma1_watch,-0.003764,3.194
gamma1_watch,-0.003761,3.194
gamma1_watch,-0.003758,3.194
gamma1_watch,-0.003755,3.194
gamma1_watch,-0.003751,3.194
gamma1_watch,-0.003748,3.194
gamma1_watch,-0.003745,3.194
gamma1_watch,-0.003742,3.194
gamma1_watch,-0.003738,3.194
gamma1_watch,-0.003735,3.194
gamma1_watch,-0.003732,3.194
gamma1_watch,-0.003729,3.194
gamma1_watch,-0.003726,3.194
gamma1_watch,-0.003722,3.194
gamma1_watch,-0.003719,3.194
gamma1_watch,-0.003716,3.194
gamma1_watch,-0.003713,3.194
gamma1_watch,-0.003710,3.194
gamma1_watch,-0.003706,3.194
gamma1_watch,-0.003703,3.194
gamma1_watch,-0.003700,3.194
gamma1_watch,-0.003697,3.194
gamma1_watch,-0.003693,3.194
gamma1_watch,-0.003690,3.194
gamma1_watch,-0.003687,3.194
gamma1_watch,-0.003684,3.194
gamma1_watch,-0.003681,3.194
gamma1_watch,-0.003677,3.194
gamma1_watch,-0.003674,3.194
gamma1_watch,-0.003671,3.194
gamma1_watch,-0.003668,3.194
gamma1_watch,-0.003665,3.194
gamma1_watch,-0.003661,3.194
gamma1_watch,-0.003658,3.194
gamma1_watch,-0.003655,3.194
gamma1_watch,-0.003652,3.194
