u_x_normalized,v_y_normalized
0.074561,0.188935
0.074854,0.189062
0.075146,0.189190
0.075439,0.189319
0.075731,0.189460
0.076023,0.189590
0.076316,0.189731
0.076608,0.189881
0.076901,0.190021
0.077193,0.190170
0.077485,0.190327
0.077778,0.190474
0.078070,0.190629
0.078363,0.190775
0.078655,0.190929
0.078947,0.191089
0.079240,0.191240
0.079532,0.191398
0.079825,0.191555
0.080117,0.191711
0.080409,0.191873
0.080702,0.192145
0.080994,0.192428
0.081287,0.192717
0.081579,0.192999
0.081871,0.193294
0.082164,0.193590
0.082456,0.193892
0.082749,0.194201
0.083041,0.194507
0.083333,0.194823
0.083626,0.195145
0.083918,0.195475
0.084211,0.195811
0.084503,0.196147
0.084795,0.196486
0.085088,0.196829
0.085380,0.197165
0.085673,0.197507
0.085965,0.197843
0.086257,0.198179
0.086550,0.198515
0.086842,0.198851
0.087135,0.199200
0.087427,0.199543
0.087719,0.199872
0.088012,0.200208
0.088304,0.200544
0.088596,0.200873
0.088889,0.201209
0.089181,0.201545
0.089474,0.201868
0.089766,0.202204
0.090058,0.202533
0.090351,0.202869
0.090643,0.203205
0.090936,0.203528
0.091228,0.203863
0.091520,0.204193
0.091813,0.204522
0.092105,0.204851
0.092398,0.205174
0.092690,0.205510
0.092982,0.205832
0.093275,0.206155
0.093567,0.206484
0.093860,0.206806
0.094152,0.207142
0.094444,0.207465
0.094737,0.207781
0.095029,0.208117
0.095322,0.208446
0.095614,0.208768
0.095906,0.209084
0.096199,0.209400
0.096491,0.209716
0.096784,0.210038
0.097076,0.210361
0.097368,0.210683
0.097661,0.210999
0.097953,0.211322
0.098246,0.211644
0.098538,0.211967
0.098830,0.212289
0.099123,0.212598
0.099415,0.212914
0.099708,0.213237
0.100000,0.213559
0.100292,0.213875
0.100585,0.214191
0.100877,0.214513
0.101170,0.214829
0.101462,0.215152
0.101754,0.215467
0.102047,0.215783
0.102339,0.216099
0.102632,0.216408
0.102924,0.216724
0.103216,0.217033
0.103509,0.217355
0.103801,0.217671
0.104094,0.217980
0.104386,0.218303
0.104678,0.218619
0.104971,0.218934
0.105263,0.219243
0.105556,0.219553
0.105848,0.219862
0.106140,0.220171
0.106433,0.220480
0.106725,0.220796
0.107018,0.221098
0.107310,0.221400
0.107602,0.221709
0.107895,0.222025
0.108187,0.222334
0.108480,0.222637
0.108772,0.222932
0.109064,0.223241
0.109357,0.223544
0.109649,0.223853
0.109942,0.224162
0.110234,0.224464
0.110526,0.224773
0.110819,0.225076
0.111111,0.225378
0.111404,0.225680
0.111696,0.225989
0.111988,0.226298
0.112281,0.226608
0.112573,0.226910
0.112865,0.227206
0.113158,0.227501
0.113450,0.227797
0.113743,0.228099
0.114035,0.228402
0.114327,0.228704
0.114620,0.229006
0.114912,0.229309
0.115205,0.229611
0.115497,0.229900
0.115789,0.230196
0.116082,0.230498
0.116374,0.230787
0.116667,0.231076
0.116959,0.231371
0.117251,0.231667
0.117544,0.231963
0.117836,0.232258
0.118129,0.232554
0.118421,0.232856
0.118713,0.233145
0.119006,0.233434
0.119298,0.233723
0.119591,0.234012
0.119883,0.234301
0.120175,0.234597
0.120468,0.234899
0.120760,0.235201
0.121053,0.235483
0.121345,0.235779
0.121637,0.236061
0.121930,0.236350
0.122222,0.236639
0.122515,0.236928
0.122807,0.237217
0.123099,0.237506
0.123392,0.237795
0.123684,0.238077
0.123977,0.238359
0.124269,0.238641
0.124561,0.238930
0.124854,0.239219
0.125146,0.239508
0.125439,0.239797
0.125731,0.240086
0.126023,0.240368
0.126316,0.240650
0.126608,0.240933
0.126901,0.241215
0.127193,0.241497
0.127485,0.241779
0.127778,0.242061
0.128070,0.242344
0.128363,0.242626
0.128655,0.242908
0.128947,0.243190
0.129240,0.243472
0.129532,0.243755
0.129825,0.244037
0.130117,0.244312
0.130409,0.244595
0.130702,0.244877
0.130994,0.245152
0.131287,0.245434
0.131579,0.245717
0.131871,0.245999
0.132164,0.246274
0.132456,0.246550
0.132749,0.246819
0.133041,0.247101
0.133333,0.247369
0.133626,0.247652
0.133918,0.247927
0.134211,0.248203
0.134503,0.248471
0.134795,0.248747
0.135088,0.249016
0.135380,0.249291
0.135673,0.249560
0.135965,0.249835
0.136257,0.250104
0.136550,0.250380
0.136842,0.250648
0.137135,0.250924
0.137427,0.251193
0.137719,0.251461
0.138012,0.251730
0.138304,0.252006
0.138596,0.252274
0.138889,0.252550
0.139181,0.252819
0.139474,0.253087
0.139766,0.253356
0.140058,0.253625
0.140351,0.253894
0.140643,0.254156
0.140936,0.254425
0.141228,0.254687
0.141520,0.254955
0.141813,0.255224
0.142105,0.255493
0.142398,0.255748
0.142690,0.256017
0.142982,0.256286
0.143275,0.256548
0.143567,0.256810
0.143860,0.257072
0.144152,0.257334
0.144444,0.257596
0.144737,0.257865
0.145029,0.258120
0.145322,0.258389
0.145614,0.258644
0.145906,0.258906
0.146199,0.259161
0.146491,0.259430
0.146784,0.259686
0.147076,0.259954
0.147368,0.260210
0.147661,0.260478
0.147953,0.260734
0.148246,0.260996
0.148538,0.261251
0.148830,0.261506
0.149123,0.261762
0.149415,0.262017
0.149708,0.262279
0.150000,0.262541
0.150292,0.262796
0.150585,0.263052
0.150877,0.263294
0.151170,0.263549
0.151462,0.263811
0.151754,0.264066
0.152047,0.264322
0.152339,0.264577
0.152632,0.264832
0.152924,0.265088
0.153216,0.265343
0.153509,0.265598
0.153801,0.265847
0.154094,0.266102
0.154386,0.266358
0.154678,0.266599
0.154971,0.266855
0.155263,0.267103
0.155556,0.267359
0.155848,0.267607
0.156140,0.267863
0.156433,0.268111
0.156725,0.268367
0.157018,0.268622
0.157310,0.268864
0.157602,0.269119
0.157895,0.269361
0.158187,0.269616
0.158480,0.269858
0.158772,0.270114
0.159064,0.270355
0.159357,0.270611
0.159649,0.270853
0.159942,0.271101
0.160234,0.271350
0.160526,0.271598
0.160819,0.271854
0.161111,0.272096
0.161404,0.272351
0.161696,0.272586
0.161988,0.272828
0.162281,0.273070
0.162573,0.273312
0.162865,0.273567
0.163158,0.273809
0.163450,0.274044
0.163743,0.274286
0.164035,0.274521
0.164327,0.274756
0.164620,0.274992
0.164912,0.275220
0.165205,0.275462
0.165497,0.275697
0.165789,0.275939
0.166082,0.276174
0.166374,0.276416
0.166667,0.276658
0.166959,0.276900
0.167251,0.277142
0.167544,0.277384
0.167836,0.277625
0.168129,0.277861
0.168421,0.278103
0.168713,0.278331
0.169006,0.278573
0.169298,0.278815
0.169591,0.279050
0.169883,0.279292
0.170175,0.279527
0.170468,0.279769
0.170760,0.279997
0.171053,0.280232
0.171345,0.280468
0.171637,0.280703
0.171930,0.280938
0.172222,0.281166
0.172515,0.281395
0.172807,0.281617
0.173099,0.281852
0.173392,0.282080
0.173684,0.282309
0.173977,0.282544
0.174269,0.282772
0.174561,0.283007
0.174854,0.283236
0.175146,0.283464
0.175439,0.283700
0.175731,0.283928
0.176023,0.284163
0.176316,0.284398
0.176608,0.284633
0.176901,0.284875
0.177193,0.285104
0.177485,0.285332
0.177778,0.285561
0.178070,0.285789
0.178363,0.286018
0.178655,0.286253
0.178947,0.286475
0.179240,0.286710
0.179532,0.286931
0.179825,0.287160
0.180117,0.287388
0.180409,0.287610
0.180702,0.287838
0.180994,0.288060
0.181287,0.288289
0.181579,0.288510
0.181871,0.288732
0.182164,0.288954
0.182456,0.289176
0.182749,0.289404
0.183041,0.289626
0.183333,0.289847
0.183626,0.290069
0.183918,0.290291
0.184211,0.290519
0.184503,0.290741
0.184795,0.290970
0.185088,0.291191
0.185380,0.291413
0.185673,0.291641
0.185965,0.291856
0.186257,0.292078
0.186550,0.292300
0.186842,0.292522
0.187135,0.292743
0.187427,0.292958
0.187719,0.293180
0.188012,0.293395
0.188304,0.293610
0.188596,0.293839
0.188889,0.294054
0.189181,0.294275
0.189474,0.294497
0.189766,0.294712
0.190058,0.294927
0.190351,0.295142
0.190643,0.295350
0.190936,0.295572
0.191228,0.295780
0.191520,0.295995
0.191813,0.296210
0.192105,0.296419
0.192398,0.296634
0.192690,0.296849
0.192982,0.297064
0.193275,0.297279
0.193567,0.297494
0.193860,0.297709
0.194152,0.297924
0.194444,0.298139
0.194737,0.298354
0.195029,0.298576
0.195322,0.298784
0.195614,0.298999
0.195906,0.299207
0.196199,0.299415
0.196491,0.299624
0.196784,0.299839
0.197076,0.300047
0.197368,0.300255
0.197661,0.300464
0.197953,0.300679
0.198246,0.300887
0.198538,0.301095
0.198830,0.301304
0.199123,0.301519
0.199415,0.301727
0.199708,0.301935
0.200000,0.302150
0.200292,0.302365
0.200585,0.302567
0.200877,0.302775
0.201170,0.302983
0.201462,0.303192
0.201754,0.303400
0.202047,0.303608
0.202339,0.303816
0.202632,0.304031
0.202924,0.304233
0.203216,0.304441
0.203509,0.304643
0.203801,0.304844
0.204094,0.305053
0.204386,0.305261
0.204678,0.305463
0.204971,0.305664
0.205263,0.305866
0.205556,0.306074
0.205848,0.306276
0.206140,0.306477
0.206433,0.306679
0.206725,0.306874
0.207018,0.307062
0.207310,0.307270
0.207602,0.307478
0.207895,0.307687
0.208187,0.307888
0.208480,0.308096
0.208772,0.308298
0.209064,0.308500
0.209357,0.308701
0.209649,0.308903
0.209942,0.309098
0.210234,0.309299
0.210526,0.309501
0.210819,0.309696
0.211111,0.309890
0.211404,0.310092
0.211696,0.310294
0.211988,0.310495
0.212281,0.310690
0.212573,0.310892
0.212865,0.311093
0.213158,0.311288
0.213450,0.311483
0.213743,0.311684
0.214035,0.311879
0.214327,0.312074
0.214620,0.312269
0.214912,0.312464
0.215205,0.312659
0.215497,0.312860
0.215789,0.313055
0.216082,0.313250
0.216374,0.313445
0.216667,0.313646
0.216959,0.313848
0.217251,0.314043
0.217544,0.314231
0.217836,0.314433
0.218129,0.314627
0.218421,0.314816
0.218713,0.315010
0.219006,0.315212
0.219298,0.315393
0.219591,0.315575
0.219883,0.315763
0.220175,0.315951
0.220468,0.316139
0.220760,0.316327
0.221053,0.316515
0.221345,0.316710
0.221637,0.316898
0.221930,0.317093
0.222222,0.317281
