model,term,mean,sd,hdi_lo,hdi_hi,rhat,ess_bulk,bf01,n_obs
A1,gamma,-0.009,0.005,-0.019,0.001,1.0,1699.0,22.83554247595064,8231
A1,beta,-0.2,0.005,-0.21,-0.19,1.0,1734.0,0.0,8231
A1,intercept,-0.021,0.005,-0.03,-0.012,1.0,2346.0,2.65597019966961e-08,8231
A1,sigma,0.416,0.003,0.41,0.422,1.0,1495.0,0.0,8231
A2,gamma,-0.0,0.002,-0.005,0.004,1.0,1569.0,212.51954733958763,6996
A2,beta,-0.125,0.002,-0.129,-0.12,1.0,1855.0,0.0,6996
A2,intercept,0.002,0.002,-0.002,0.006,1.0,2723.0,164.758936318852,6996
A2,sigma,0.173,0.001,0.17,0.176,1.01,768.0,0.0,6996
A3,gamma,-0.002,0.002,-0.006,0.003,1.0,2632.0,181.05820250166553,6996
A3,beta,-0.125,0.002,-0.13,-0.121,1.0,2723.0,0.0,6996
A3,intercept,0.002,0.002,-0.003,0.006,1.0,3029.0,177.77295740366796,6996
A3,sigma,0.173,0.001,0.17,0.176,1.0,718.0,0.0,6996
B1,gamma_main,-0.015,0.001,-0.016,-0.014,1.0,2146.0,0.0,9995
B1,gamma_orient,-0.019,0.001,-0.021,-0.018,1.0,2625.0,0.0,9995
B1,gamma_inter,-0.003,0.001,-0.004,-0.002,1.0,2578.0,6.314639680873398e-25,9995
B1,intercept,0.001,0.001,-0.0,0.002,1.0,2763.0,228.72410458564804,9995
B1,sigma,0.058,0.0,0.057,0.059,1.01,192.0,0.0,9995
B2,gamma_main,0.002,0.001,0.0,0.003,1.0,2393.0,33.81453084915252,9995
B2,gamma_orient,-0.021,0.001,-0.023,-0.02,1.0,2241.0,0.0,9995
B2,gamma_inter,-0.0,0.001,-0.001,0.001,1.0,3261.0,865.7169327180857,9995
B2,intercept,0.001,0.001,-0.001,0.002,1.0,2066.0,520.6021578662223,9995
B2,sigma,0.06,0.0,0.059,0.061,1.01,223.0,0.0,9995
B3,gamma_main,-0.204,0.004,-0.213,-0.197,1.0,2999.0,0.0,9996
B3,gamma_orient,-0.066,0.004,-0.075,-0.058,1.0,2586.0,0.0,9996
B3,gamma_inter,0.009,0.004,0.001,0.017,1.0,2667.0,12.566010009717493,9996
B3,intercept,0.021,0.004,0.013,0.029,1.0,2266.0,6.212195367505228e-18,9996
B3,sigma,0.417,0.003,0.411,0.422,1.0,1970.0,0.0,9996
